frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,type
"0.000000000","0.000000000","1513806151.310626000",,"0.000000000","192.168.1.1","192.168.1.172","22","38964","18:a6:f7:eb:77:26","14:cc:20:15:79:64","130",,,,,"1",,"0",,,,"130",,"0",,"1","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000384000","0.000384000","1513806151.311010000",,"0.000384000","192.168.1.172","192.168.1.1","38964","22","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"2","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001678000","0.001678000","1513806151.312688000",,"0.002062000","192.168.1.1","192.168.1.172","22","38964","18:a6:f7:eb:77:26","14:cc:20:15:79:64","194",,,,,"1",,"0",,,,"194",,"0",,"3","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001231000","0.001231000","1513806151.313919000",,"0.003293000","192.168.1.172","192.168.1.1","38964","22","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"4","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.009277000","0.009277000","1513806151.323196000",,"0.012570000","192.168.1.172","192.168.1.1","38964","22","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"5","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.003152000","0.003152000","1513806151.326348000",,"0.015722000","192.168.1.1","192.168.1.172","22","38964","18:a6:f7:eb:77:26","14:cc:20:15:79:64","114",,,,,"1",,"0",,,,"114",,"0",,"6","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.005383000","0.005383000","1513806151.331731000",,"0.021105000","192.168.1.1","192.168.1.172","22","38964","18:a6:f7:eb:77:26","14:cc:20:15:79:64","178",,,,,"1",,"0",,,,"178",,"0",,"7","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.003310000","0.003310000","1513806151.335041000",,"0.024415000","192.168.1.172","192.168.1.1","38964","22","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"8","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.017472000","0.017472000","1513806151.352513000",,"0.041887000","192.168.1.172","192.168.1.1","38964","22","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"9","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"4.090510000","4.090510000","1513806155.443023000",,"4.132397000","192.168.1.172","192.168.1.171","42953","3000","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","64",,,,,"1",,"0",,,,"64",,"0",,"10","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
