frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,type
"0.000000000","0.000000000","1516802194.075825000",,"0.000000000","192.168.1.1","192.168.1.172","22","39157","18:a6:f7:eb:77:26","14:cc:20:15:79:64","130",,,,,"1",,"0",,,,"130",,"0",,"1","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000745000","0.000745000","1516802194.076570000",,"0.000745000","192.168.1.1","192.168.1.172","22","39157","18:a6:f7:eb:77:26","14:cc:20:15:79:64","146",,,,,"1",,"0",,,,"146",,"0",,"2","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000550000","0.000550000","1516802194.077120000",,"0.001295000","192.168.1.1","192.168.1.172","22","39157","18:a6:f7:eb:77:26","14:cc:20:15:79:64","114",,,,,"1",,"0",,,,"114",,"0",,"3","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000895000","0.000895000","1516802194.078015000",,"0.002190000","192.168.1.172","192.168.1.1","39157","22","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"4","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000509000","0.000509000","1516802194.078524000",,"0.002699000","192.168.1.172","192.168.1.1","39157","22","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"5","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000126000","0.000126000","1516802194.078650000",,"0.002825000","192.168.1.172","192.168.1.1","39157","22","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"6","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.018783000","0.018783000","1516802194.097433000",,"0.021608000","192.168.1.1","192.168.1.172","22","39157","18:a6:f7:eb:77:26","14:cc:20:15:79:64","114",,,,,"1",,"0",,,,"114",,"0",,"7","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.002560000","0.002560000","1516802194.099993000",,"0.024168000","192.168.1.1","192.168.1.172","22","39157","18:a6:f7:eb:77:26","14:cc:20:15:79:64","178",,,,,"1",,"0",,,,"178",,"0",,"8","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001058000","0.001058000","1516802194.101051000",,"0.025226000","192.168.1.172","192.168.1.1","39157","22","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"9","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000128000","0.000128000","1516802194.101179000",,"0.025354000","192.168.1.172","192.168.1.1","39157","22","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"10","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"3.743981000","3.743981000","1516802197.845160000",,"3.769335000","192.168.1.172","192.168.1.1",,,"14:cc:20:15:79:64","18:a6:f7:eb:77:26","79",,,,,"1",,"0",,,,"79",,"0",,"11","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000981000","0.000981000","1516802197.846141000",,"3.770316000","192.168.1.1","192.168.1.172",,,"18:a6:f7:eb:77:26","14:cc:20:15:79:64","135",,,,,"1",,"0",,,,"135",,"0",,"12","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001432000","0.001432000","1516802197.847573000",,"3.771748000","192.168.1.172,192.168.1.1","192.168.1.1,192.168.1.172",,,"14:cc:20:15:79:64","18:a6:f7:eb:77:26","163",,,,,"1",,"0",,,,"163",,"0",,"13","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"2.396649000","2.396649000","1516802200.244222000",,"6.168397000","192.168.1.172","192.168.1.171","43230","3000","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","64",,,,,"1",,"0",,,,"64",,"0",,"14","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.002267000","0.002267000","1516802200.246489000",,"6.170664000","192.168.1.171","192.168.1.172","3000","43230","74:d4:35:ef:e5:5a","14:cc:20:15:79:64","65",,,,,"1",,"0",,,,"65",,"0",,"15","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.204514000","0.204514000","1516802200.451003000",,"6.375178000","192.168.1.172","192.168.1.171","43230","3000","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","64",,,,,"1",,"0",,,,"64",,"0",,"16","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000214000","0.000214000","1516802200.451217000",,"6.375392000","192.168.1.171","192.168.1.172","3000","43230","74:d4:35:ef:e5:5a","14:cc:20:15:79:64","66",,,,,"1",,"0",,,,"66",,"0",,"17","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
