frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,type
"0.000000000","0.000000000","1512049682.255410000",,"0.000000000","192.168.1.1","192.168.1.172","80","58039","18:a6:f7:eb:77:26","14:cc:20:15:79:64","135",,,,,"1",,"0",,"0","wlan0","135",,"0",,"1","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000049000","0.000049000","1512049682.255459000",,"0.000049000","192.168.1.172","192.168.1.1","58039","80","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,"0","wlan0","66",,"0",,"2","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001791000","0.001791000","1512049682.257250000",,"0.001840000","192.168.1.1","192.168.1.172","80","58039","18:a6:f7:eb:77:26","14:cc:20:15:79:64","208",,,,,"1",,"0",,"0","wlan0","208",,"0",,"3","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000027000","0.000027000","1512049682.257277000",,"0.001867000","192.168.1.172","192.168.1.1","58039","80","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,"0","wlan0","66",,"0",,"4","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.008916000","0.008916000","1512049682.266193000",,"0.010783000","192.168.1.1","192.168.1.172","80","58039","18:a6:f7:eb:77:26","14:cc:20:15:79:64","71",,,,,"1",,"0",,"0","wlan0","71",,"0",,"5","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000028000","0.000028000","1512049682.266221000",,"0.010811000","192.168.1.172","192.168.1.1","58039","80","14:cc:20:15:79:64","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,"0","wlan0","66",,"0",,"6","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.981534000","0.981534000","1512049683.247755000",,"0.992345000","192.168.1.172","192.168.1.171","57369","3000","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","64",,,,,"1",,"0",,"0","wlan0","64",,"0",,"7","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.003239000","0.003239000","1512049683.250994000",,"0.995584000","192.168.1.171","192.168.1.172","3000","57369","74:d4:35:ef:e5:5a","14:cc:20:15:79:64","65",,,,,"1",,"0",,"0","wlan0","65",,"0",,"8","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000035000","0.000035000","1512049683.251029000",,"0.995619000","192.168.1.172","192.168.1.171","57369","3000","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","54",,,,,"1",,"0",,"0","wlan0","54",,"0",,"9","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.016876000","0.016876000","1512049683.267905000",,"1.012495000","192.168.1.1","192.168.1.172","80","58039","18:a6:f7:eb:77:26","14:cc:20:15:79:64","66",,,,,"1",,"0",,"0","wlan0","66",,"0",,"10","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
