frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,type
"0.000000000","0.000000000","1516798484.773659010",,"0.000000000","192.168.1.172","192.168.1.171","41938","1883","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","74",,,,,"1",,"0",,"0","wlan0","74",,"0",,"1","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.005010393","0.005010393","1516798484.778669403",,"0.005010393","192.168.1.171","192.168.1.172","1883","41938","74:d4:35:ef:e5:5a","14:cc:20:15:79:64","66",,,,,"1",,"0",,"0","wlan0","66",,"0",,"2","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000010032","0.000010032","1516798484.778679435",,"0.005020425","192.168.1.172","192.168.1.171","41938","1883","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","54",,,,,"1",,"0",,"0","wlan0","54",,"0",,"3","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000082869","0.000082869","1516798484.778762304",,"0.005103294","192.168.1.172","192.168.1.171","41938","1883","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","80",,,,,"1",,"0",,"0","wlan0","80",,"0",,"4","0.000000000","sensorPython","12",,,,,"1","0","0","0","0","0","0","0x00000002","0","0x00000010","60","24",,,"1",,,"4","MQTT","0","0",,,,,,,"4",,,,,normal
"0.001181029","0.001181029","1516798484.779943333",,"0.006284323","192.168.1.172","192.168.1.171","41938","1883","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","159",,,,,"1",,"0",,"0","wlan0","159",,"0",,"5","0.000000000",,,,,,,,,,,,,,,"0,0,0,0,0,0","0x00000030,0x00000030,0x00000030,0x00000030,0x00000030,0x00000030",,"8,8,24,25,14,14","1,2,30,400,0,1",,"3,3,3,3,3,3",,,,,"0,0,0,0,0,0","0,0,0,0,0,0",,,"motor,motor,distance/ultrasonic1,distance/ultrasonic1,light/rele1,light/rele1","5,5,20,20,11,11",,,,,,,,normal
"0.004422491","0.004422491","1516798484.784365824",,"0.010706814","192.168.1.171","192.168.1.172","1883","41938","74:d4:35:ef:e5:5a","14:cc:20:15:79:64","60",,,,,"1",,"0",,"0","wlan0","60",,"0",,"6","0.000000000",,,"0x00000000","0","0","0",,,,,,,,,"0","0x00000020",,"2",,,"2",,,,,"0","0",,,,,,,,,,,,normal
"0.000043310","0.000043310","1516798484.784409134",,"0.010750124","192.168.1.172","192.168.1.171","41938","1883","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","54",,,,,"1",,"0",,"0","wlan0","54",,"0",,"7","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.008413888","0.008413888","1516798484.792823022",,"0.019164012","192.168.1.171","192.168.1.172","1883","41938","74:d4:35:ef:e5:5a","14:cc:20:15:79:64","60",,,,,"1",,"0",,"0","wlan0","60",,"0",,"8","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000031410","0.000031410","1516798484.792854432",,"0.019195422","192.168.1.172","192.168.1.171","41938","1883","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","54",,,,,"1",,"0",,"0","wlan0","54",,"0",,"9","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"36.780159571","36.780159571","1516798521.573014003",,"36.799354993","192.168.1.172","192.168.1.171","42952","3000","14:cc:20:15:79:64","74:d4:35:ef:e5:5a","74",,,,,"1",,"0",,"0","wlan0","74",,"0",,"10","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
